component	module	version	license
tree-sitter-core	github.com/tree-sitter/go-tree-sitter	v0.25.0	MIT
ard	github.com/akonwi/tree-sitter-ard	v0.0.0-20260825025050-98a6e2e447c9	MIT
go	github.com/tree-sitter/tree-sitter-go	v0.25.0	MIT
typescript-tsx	github.com/tree-sitter/tree-sitter-typescript	v0.23.2	MIT
javascript-jsx	github.com/tree-sitter/tree-sitter-javascript	v0.25.0	MIT
python	github.com/tree-sitter/tree-sitter-python	v0.25.0	MIT
rust	github.com/tree-sitter/tree-sitter-rust	v0.24.2	MIT
bash	github.com/tree-sitter/tree-sitter-bash	v0.25.1	MIT
json	github.com/tree-sitter/tree-sitter-json	v0.24.8	MIT
yaml	github.com/tree-sitter-grammars/tree-sitter-yaml	v0.7.2	MIT
toml	github.com/tree-sitter-grammars/tree-sitter-toml	v0.7.0	MIT
markdown	github.com/tree-sitter-grammars/tree-sitter-markdown	v0.5.3	MIT
html	github.com/tree-sitter/tree-sitter-html	v0.23.2	MIT
css	github.com/tree-sitter/tree-sitter-css	v0.25.0	MIT
sql	github.com/DerekStride/tree-sitter-sql	v0.3.11	MIT
